ID ECAO	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type	URCH specific	hasNoOnto	Taxon	Pubmed references	Reference	Time for P. lividus at 18ÃƒÂ‚Ã‚Â°C	stage preceded by	subset				
ECAO:0103620	embryonic digestive system	digestive system	embryo		blastopore formation stage	prism stage	The gastrointestinal tract that is being formed during embryonic development starting with the formation of the primitive gut tube (or archenteron)												x						echinoderm_anatomy				
ECAO:0103630	larval digestive system	digestive system	larva	embryonic digestive system	larval development	larval development	Organ system responsible for the food uptake and processing in the larva												x						echinoderm_anatomy				
ECAO:0103640	juvenile digestive system	digestive system	juvenile		early juvenile stage	late juvenile stage																			echinoderm_anatomy				
ECAO:0103650	adult digestive system	digestive system	adult	juvenile digestive system	adult stage	adult stage	Anatomical system that processes ingested substances in the adult												x						echinoderm_anatomy				
ECAO:0103660	immune system	anatomical system	whole organism		stage 16	adult stage			UBERON:0002405																echinoderm_anatomy				
ECAO:0103670	embryonic immune system	immune system	embryo		stage 16	stage 19													x						echinoderm_anatomy				
ECAO:0103680	larval immune system	immune system	larva		larval development	larval development									XAO:0003153				xao						echinoderm_anatomy				
ECAO:0103690	juvenile immune system	immune system	juvenile		early juvenile stage	late juvenile stage																			echinoderm_anatomy				
ECAO:0103700	adult immune system	immune system	adult		adult stage	adult stage									XAO:0003154				xao						echinoderm_anatomy				
ECAO:0103710	reproductive system	anatomical system	whole organism		adult stage	adult stage	Anatomical system that has as its parts the organs concerned with reproduction, i.e. the male and female gonads.		UBERON:0000990																echinoderm_anatomy				
ECAO:0103720	nervous system	anatomical system	whole organism		stage 17	adult stage			UBERON:0001016																echinoderm_anatomy				
ECAO:0103730	embryonic nervous system	nervous system	embryo		stage 17	stage 19	The sum of all the structures in the embryo that will develop into the larval nervous system												x						echinoderm_anatomy				
ECAO:0103740	larval nervous system	nervous system	larva	embryonic nervous system	larval development	larval development	The sum of all the neural structures present in the larva												x						echinoderm_anatomy				
ECAO:0103750	juvenile nervous system	nervous system	juvenile		early juvenile stage	late juvenile stage																			echinoderm_anatomy				
ECAO:0103760	adult nervous system	nervous system	adult	juvenile nervous system	adult stage	adult stage			UBERON:6003559																echinoderm_anatomy				
ECAO:0103770	muscular system	anatomical system	whole organism		larval development	adult stage			UBERON:0000383																echinoderm_anatomy				
ECAO:0103780	larval muscular system	muscular system	larva		larval development	larval development													x						echinoderm_anatomy				
ECAO:0103790	juvenile muscular system	muscular system	juvenile		early juvenile stage	late juvenile stage																			echinoderm_anatomy				
ECAO:0103800	adult muscular system	muscular system	adult	juvenile muscular system	adult stage	adult stage			UBERON:6003218																echinoderm_anatomy				
ECAO:0103810	endoskeleton	anatomical system	whole organism		stage 14	adult stage	Internal support structure of an animal composed of mineralized tissue. It gives shape, support and protection to the body.		UBERON:0001434																echinoderm_anatomy				
ECAO:0103820	embryonic endoskeleton	endoskeleton	embryo		stage 14	stage 19													x						echinoderm_anatomy				
ECAO:0103830	larval endoskeleton	endoskeleton	larva		larval development	larval development													x						echinoderm_anatomy				
ECAO:0103840	rudiment endoskeleton	endoskeleton	rudiment		8-arm pluteus larva stage	metamorphic larva stage		skeletal rudiment											x						echinoderm_anatomy				
ECAO:0103850	juvenile endoskeleton	endoskeleton	juvenile		early juvenile stage	late juvenile stage																			echinoderm_anatomy				
ECAO:0103860	adult endoskeleton	endoskeleton	adult		adult stage	adult stage													x						echinoderm_anatomy				
ECAO:0103870	water vascular system	anatomical system	whole organism		6-arm pluteus larva stage	adult stage	The water vascular system is a hydraulic system used by sea urchins for locomotion, food and waste transportation, and respiration. The system is composed of canals connecting numerous tube feet.		UBERON:0008251																echinoderm_anatomy				
ECAO:0103880	hemal system	anatomical system	whole organism		8-arm pluteus larva stage	adult stage	The hemal system contains the blood. It is composed of a complex network of vessels mainly located around the gut.	haemal system											x						echinoderm_anatomy				
ECAO:0103890	animal hemisphere	anatomical structure	whole organism		stage 1	stage 15	Anatomical region that corresponds to the upper half of the embryo, which later is composed of the mesomeres, and ultimately encompasses the presumptive ectoderm	animal half, upper half, upper hemisphere	UBERON:0012284																echinoderm_anatomy				
ECAO:0103900	vegetal hemisphere	anatomical structure	whole organism		stage 1	stage 15	Anatomical region that corresponds to the lower half of the embryo, which later is composed of the macromeres and the micromeres, and ultimately encompasses the endoderm and mesoderm	vegetal half, lower half, lower hemisphere	UBERON:0012285																echinoderm_anatomy				
ECAO:0103910	cell cortex	cell part	cell		stage 1	adult stage											GO:0005938								echinoderm_anatomy				
ECAO:0103920	cleavage furrow	intracellular part	cell		stage 1	adult stage											GO:0032154								echinoderm_anatomy				
ECAO:0103930	animal cortex	cell cortex	animal hemisphere		stage 1	stage 1	Cell component comprising the outermost layer of the animal region of the oocyte. It consists of a phospholipid bilayer and associated proteins						Croce, J., Range, R., Wu, S.-Y., Miranda, E., Lhomond, G., Peng, J. C., Lepage, T. and McClay, D. R. (2011). Wnt6 activates endoderm in the sea urchin gene regulatory network. Dev. Camb. Engl. 138, 3297ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ3306.						x						echinoderm_anatomy				
ECAO:0103940	vegetal cortex	cell cortex	vegetal hemisphere		stage 1	stage 1	Cell component comprising the outermost layer of the vegetal region of the oocyte. It consists of a phospholipid bilayer and associated proteins												x						echinoderm_anatomy				
ECAO:0103950	animal pole	anatomical region	whole organism		stage 1	stage 15	The apical region of the animal hemisphere												x						echinoderm_anatomy				
ECAO:0103960	vegetal pole	anatomical region	whole organism		stage 1	stage 15	The apical most region of the vegetal hemisphere. Once cleavages have started the vegetal pole is characterized by the presence of the micromeres initially and then that of the small micromeres												x						echinoderm_anatomy				
ECAO:0103970	animal pole domain	anatomical region	embryo		very early blastula stage	prism stage		apical pole domain, apical plate, animal plate, neurogenic ectoderm, anterior neuroectoderm											x						echinoderm_anatomy				
ECAO:0103980	blastopore	anatomical region	embryonic digestive system		stage 12	stage 18			UBERON:0000100																echinoderm_anatomy				
ECAO:0103990	blastopore lip	embryonic structure	blastopore		stage 12	stage 18			UBERON:3010455																echinoderm_anatomy				
ECAO:0104000	bottle cell	embryonic cell	vegetal plate		stage 12	stage 12					CL:0007020														echinoderm_anatomy				
ECAO:0104010	embryonic cell	cell	embryo		stage 2	stage 19					CL:0002321														echinoderm_anatomy				
ECAO:0104020	vegetal plate	anatomical region	embryo		stage 11	stage 12													x						echinoderm_anatomy				
ECAO:0104030	cell	anatomical structure			stage 1	adult stage	Anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane				CL:0000000														echinoderm_anatomy				
ECAO:0104040	cell part	anatomical structure	cell		previtellogenic primary oocyte stage	adult stage	Anatomical structure that is part of a cell and that has a granularity level equal to that of a protein complex or higher.										GO:0044464								echinoderm_anatomy				
ECAO:0104050	digestive system element	anatomical structure	digestive system		larval development	adult stage	Any of the organs or elements that are part of the digestive system		UBERON:0013765																echinoderm_anatomy				
ECAO:0104060	skeletal element	anatomical structure	endoskeleton		stage 14	adult stage			UBERON:0004765																echinoderm_anatomy				
ECAO:0104070	embryonic structure	anatomical structure	embryo		stage 1	stage 19	Any anatomical structure that is part of an embryo		UBERON:0002050																echinoderm_anatomy				
ECAO:0104080	larval structure	anatomical structure	larva		larval development	larval development	Any anatomical structure that is part of a larva												x						echinoderm_anatomy				
ECAO:0104090	juvenile structure	anatomical structure	juvenile		early juvenile stage	late juvenile stage	Any anatomical structure that is part of a juvenile																		echinoderm_anatomy				
ECAO:0104100	adult structure	anatomical structure	adult		early juvenile stage	adult stage	Any anatomical structure that is part of an adult												x						echinoderm_anatomy				
ECAO:0104110	tissue	anatomical structure	multicellular organism		stage 12	adult stage			UBERON:0000479																echinoderm_anatomy				
ECAO:0104120	rudiment	anatomical structure	larva		6-arm pluteus larva stage	metamorphic larva stage		adult rudiment, imaginal adult rudiment											x						echinoderm_anatomy				
ECAO:0104130	rudiment structure	anatomical structure	rudiment		6-arm pluteus larva stage	metamorphic larva stage													x						echinoderm_anatomy				
ECAO:0104140	non-rudiment adult structure	anatomical structure	larva		6-arm pluteus larva stage	metamorphic larva stage													x						echinoderm_anatomy				
ECAO:0104147	intracellular part	cell part	cell		previtellogenic primary oocyte stage	adult stage											GO:0044424								echinoderm_anatomy				
ECAO:0104148	cytoskeleton	intracellular part	cell		stage 1	adult stage											GO:0005856								echinoderm_anatomy				
ECAO:0104150	microtubule	intracellular part	cytoskeleton		stage 1	adult stage											GO:0005874								echinoderm_anatomy				
ECAO:0104160	nucleus	intracellular part	cell		stage 1	adult stage	A membrane-bounded organelle of in which chromosomes are housed and replicated. In most cells, it contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some specialized cell types, RNA metabolism or DNA replication may be absent										GO:0005634								echinoderm_anatomy				
ECAO:0104168	oocyte	gamete	reproductive system		adult stage	adult stage	A female haploid germ cell.				CL:0000023														echinoderm_anatomy				
ECAO:0104170	germinal vesicle	nucleus	oocyte		adult stage	adult stage	The enlarged, fluid filled nucleus of a primary oocyte, the development of which is suspended in prophase I of the first meiotic division between embryohood and sexual maturity										GO:0042585								echinoderm_anatomy				
ECAO:0104180	equatorial pigment band	intracellular part	cell		adult stage	stage 11	The subequatorial accumulation of pigment granules (the so-called ÃƒÂ¢Ã¢Â‚Â¬Ã‹Âœpigment bandÃƒÂ¢Ã¢Â‚Â¬Ã¢Â„Â¢) in eggs or early stage embryos, which constitutes an unambiguous marker of animal-vegetal polarity	pigment band, pigmented band					Sardet, C. and Chang, P. (1985). A marker of animal-vegetal polarity in the egg of the sea urchin paracentrotus lividus. Exp. Cell Res. 160, 73ÃƒÂ¢Ã¢Â‚Â¬Ã¢Â€Âœ82.					x	x						echinoderm_anatomy				
ECAO:0104190	cytoplasm	intracellular part	cell		stage 1	adult stage	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures										GO:0005737								echinoderm_anatomy				
ECAO:0104200	centrosome	intracellular part	cell		stage 1	adult stage											GO:0005813								echinoderm_anatomy				
ECAO:0104210	mitotic spindle	intracellular part	cell		stage 1	adult stage											GO:0072686								echinoderm_anatomy				
ECAO:0104220	meiotic spindle	intracellular part	oocyte		adult stage	adult stage											GO:0072687								echinoderm_anatomy				
ECAO:0104230	fertilization envelope	embryonic structure	embryo		stage 1	stage 12	A structure that lies outside the plasma membrane and surrounds the egg. The fertilization envelope forms from the vitelline membrane after fertilization as a result of cortical granule release	fertilization membrane									GO:0060387								echinoderm_anatomy				
ECAO:0104247	spermatozoid	gamete	reproductive system		adult stage	adult stage	A mature male germ cell	sperm, spermatozoa, spermatozoan, male gamete, mature sperm cell			CL:0000019														echinoderm_anatomy				
ECAO:0104248	aster	intracellular part	cytoskeleton		stage 1	adult stage		spindle aster, mitotic aster									GO:0005818								echinoderm_anatomy				
ECAO:0104250	sperm aster	aster	spermatozoid		mature spermatozoid stage	mature spermatozoid stage		spermatozoid aster											x						echinoderm_anatomy				
ECAO:0104270	acellular membrane	anatomical structure			mature oocyte stage	mature oocyte stage			UBERON:0005764																echinoderm_anatomy				
ECAO:0104280	vitelline membrane	acellular membrane	oocyte		adult stage	stage 1		vitelline layer, vitelline envelope	UBERON:0003125				Correa and Carroll 1997												echinoderm_anatomy				
ECAO:0104300	hyaline layer	acellular membrane	embryo		stage 1	larval development		hyaline membrane									GO:0033166								echinoderm_anatomy				
ECAO:0104310	microvillus	cell part	whole organism		stage 1	adult stage											GO:0005902								echinoderm_anatomy				
ECAO:0104320	apical lamina	acellular membrane	hyaline layer		stage 1	adult stage		fibropellin layer									GO:0032579								echinoderm_anatomy				
ECAO:0104330	secretory vesicle	intracellular part	whole organism		stage 1	adult stage											GO:0099503								echinoderm_anatomy				
ECAO:0104340	cilium	cell part	whole organism		stage 9	adult stage											GO:0072372								echinoderm_anatomy				
ECAO:0104350	filopodium	cell part	embryo		stage 12	adult stage											GO:0030175								echinoderm_anatomy				
ECAO:0104360	basal lamina	acellular membrane	whole organism		stage 7	adult stage			UBERON:0000482				Wessel, G. M., Marchase, R. B., & McClay, D. R. (1984).												echinoderm_anatomy				
ECAO:0104370	basal laminar vesicle	secretory vesicle	whole organism		adult stage	stage 15		basal lamina vesicle, basal vesicle					Wessel, G. M., Marchase, R. B., & McClay, D. R. (1984).						x						echinoderm_anatomy				
ECAO:0104380	apical vesicle	secretory vesicle	whole organism		stage 1	stage 15													x						echinoderm_anatomy				
ECAO:0104390	cortical granule	secretory vesicle	whole organism		adult stage	stage 1		cortical vesicle									GO:0060473								echinoderm_anatomy				
ECAO:0104400	echinonectin vesicle	secretory vesicle	whole organism		stage 1	stage 15		nectosome, echinonectin granule											x						echinoderm_anatomy				
ECAO:0104410	mitochondrion	intracellular part	whole organism		stage 1	adult stage							Agnello, M., Roccheri, M. C., Morici, G., & Rinaldi, A. M. (2017).				GO:0005739								echinoderm_anatomy				
ECAO:0104420	actin cytoskeleton	cytoskeleton	cell		stage 1	adult stage											GO:0015629								echinoderm_anatomy				
ECAO:0104430	actin filament	intracellular part	actin cytoskeleton		stage 1	adult stage		microfilament, F-actin filament									GO:0005884								echinoderm_anatomy				
ECAO:0104440	nuclear part	intracellular part	nucleus		mature oocyte stage	adult stage											GO:0044428								echinoderm_anatomy				
ECAO:0104450	nucleoplasm	nuclear part	nucleus		stage 1	adult stage											GO:0005654								echinoderm_anatomy				
ECAO:0104460	nuclear envelope	nuclear part	nucleus		stage 1	adult stage											GO:0005635								echinoderm_anatomy				
ECAO:0104470	endoplasmic reticulum	intracellular part	cell		stage 1	adult stage											GO:0005783								echinoderm_anatomy				
ECAO:0104480	spermatozoid entry point	cell part	whole organism		adult stage	stage 1													x						echinoderm_anatomy				
ECAO:0104490	plasma membrane	cell part	whole organism		stage 1	adult stage		cell membrane									GO:0005886								echinoderm_anatomy				
ECAO:0104500	polar body	cell	oocyte		adult stage	stage 1	A small cell formed by the meiotic division of an oocyte				CL:0002090														echinoderm_anatomy				
ECAO:0104510	spermatozoid part	cell part	spermatozoid		adult stage	adult stage		sperm part									GO:0097223								echinoderm_anatomy				
ECAO:0104520	spermatozoid head	spermatozoid part	spermatozoid		adult stage	adult stage	The part of the late spermatid or spermatozoon that contains the nucleus and acrosome.										GO:0061827								echinoderm_anatomy				
ECAO:0104530	spermatozoid flagellum	spermatozoid part	spermatozoid		adult stage	adult stage	A microtubule-based flagellum (or cilium) that is part of a sperm, a mature male germ cell that develops from a spermatid	sperm tail									GO:0036126								echinoderm_anatomy				
ECAO:0104540	acrosomal vesicle	secretory vesicle	spermatozoid head		adult stage	adult stage	An organelle that develops over the anterior half of the head in the spermatozoa	acrosome									GO:0001669								echinoderm_anatomy				
ECAO:0104548	small micromere descendant cell	blastomere	embryo	small micromere	stage 8	stage 19		presumptive primordial germ cell										x	x						echinoderm_anatomy				
ECAO:0104550	presumptive primordial germ cell	cell	embryo	small micromere descendant cell	32-cell stage	metamorphic larva stage													x						echinoderm_anatomy				
ECAO:0104560	primordial germ cell	cell	reproductive system		stage 6	adult stage					CL:0000670														echinoderm_anatomy				
ECAO:0104570	germ cell	cell	reproductive system	primordial germ cell	stage 6	adult stage																			echinoderm_anatomy				
ECAO:0104580	gamete	germ cell	reproductive system		gametogenesis phase	gametogenesis phase																			echinoderm_anatomy				
ECAO:0104600	immature occyte	oocyte	primordial germ cell		previtellogenic primary oocyte stage	fully grown oocyte with no nucleus stage		immature egg											x						echinoderm_anatomy				
ECAO:0104610	mature oocyte	oocyte	germ cell	immature occyte	adult stage	adult stage	A mature female gamet that has entered meiosis.	egg, unfertilized egg, female gamete, female germ cell			CL:0000023														echinoderm_anatomy				
ECAO:0104630	blastomere	embryonic cell	embryo		stage 2	stage 7	An undifferentiated cell produced by early cleavages of the fertilized egg (zygote)	blastoderm cell			CL:0000353														echinoderm_anatomy				
ECAO:0104640	blastomere of 2-cell embryo	blastomere	embryo		2-cell stage	2-cell stage													x						echinoderm_anatomy				
ECAO:0104650	blastomere of 4-cell embryo	blastomere	embryo		4-cell stage	4-cell stage													x						echinoderm_anatomy				
ECAO:0104660	mesomere	blastomere	animal hemisphere		stage 5	stage 5	Intermediate size blastomere forming the animal hemisphere of the cleaving embryo	mesomeres											x						echinoderm_anatomy				
ECAO:0104670	macromere	blastomere	vegetal hemisphere		stage 5	stage 5	Larger blastomere of the vegetal hemisphere of the cleaving embryo located below the equator	macromeres											x						echinoderm_anatomy				
ECAO:0104678	cell tier	embryonic structure	embryo		stage 4	stage 11		blastomere tier											x						echinoderm_anatomy				
ECAO:0104680	macromere daughter cell tier	cell tier	vegetal hemisphere		stage 6	stage 6													x						echinoderm_anatomy				
ECAO:0104690	micromere	blastomere	vegetal hemisphere		stage 5	stage 6	Small blastomere of the vegetal hemisphere of the cleaving embryo located at to the vegetal pole	micromeres										x	x						echinoderm_anatomy				
ECAO:0104700	large micromere	blastomere	vegetal hemisphere	micromere	stage 6	stage 7												x	x						echinoderm_anatomy				
ECAO:0104710	large micromere descendant cell	blastomere	embryo	large micromere	stage 8	stage 11		large micromere progeny, presumptive PMC, presumptive skeletogenic mesenchyme cell, presumptive primary mesenchyme cell										x	x						echinoderm_anatomy				
ECAO:0104720	small micromere	blastomere	vegetal hemisphere	micromere	stage 6	stage 7		SM										x	x						echinoderm_anatomy				
ECAO:0104740	presumptive neuron	cell	nervous system		stage 12	adult stage	A progenitor cell of the nervous system that will develop into a neuron	neuronal progenitor cell											x						echinoderm_anatomy				
ECAO:0104750	animal pole domain presumptive neuron	presumptive neuron	embryonic nervous system		mesenchyme blastula phase	prism stage		apical pole domain presumptive neuron, animal pole domain neuronal progenitor cell											x						echinoderm_anatomy				
ECAO:0104760	ectoderm presumptive neuron	presumptive neuron	embryonic nervous system		mesenchyme blastula phase	prism stage		ectoderm neuronal progenitor cell											x						echinoderm_anatomy				
ECAO:0104770	ciliary band presumptive neuron	presumptive neuron	nervous system		mesenchyme blastula phase	competent pluteus larva stage		ciliary band neuronal progenitor cell											x						echinoderm_anatomy				
ECAO:0104780	endoderm associated presumptive neuron	presumptive neuron	nervous system		prism stage	competent pluteus larva stage		endoderm associated neuronal progenitor cell					wei at al., 2011						x						echinoderm_anatomy				
ECAO:0104790	neuron	cell	nervous system	presumptive neuron	stage 18	larval development		nerve cell			CL:0000540														echinoderm_anatomy				
ECAO:0104800	larval neuron	neuron	larval nervous system	presumptive neuron	larval development	larval development													x						echinoderm_anatomy				
ECAO:0104810	serotonergic neuron	neuron	nervous system	animal pole domain presumptive neuron	stage 19	larval development					CL:0000850														echinoderm_anatomy				
ECAO:0104820	synaptotagmin-B neuron	neuron	nervous system		stage 18	adult stage																			echinoderm_anatomy				
ECAO:0104830	dopaminergic neuron	neuron	nervous system	ectoderm presumptive neuron	stage 19	adult stage					CL:0000700														echinoderm_anatomy				
ECAO:0104840	GABAergic neuron	neuron	nervous system		larval development	adult stage					CL:0000617														echinoderm_anatomy				
ECAO:0104850	sensory neuron	neuron	nervous system		stage 19	adult stage		sensory cell			CL:0000101														echinoderm_anatomy				
ECAO:0104860	biopolar neuron	neuron	nervous system		prism stage	adult stage					CL:0000103														echinoderm_anatomy				
ECAO:0104870	multipolar neuron	neuron	nervous system		prism stage	adult stage					CL:0000104														echinoderm_anatomy				
ECAO:0104878	neural structure	anatomical structure	nervous system		stage 17	adult stage		neuronal structure											x						echinoderm_anatomy				
ECAO:0104880	axon tract	neural structure	nervous system		prism stage	adult stage		axonal tract, axon bundle	UBERON:0001018																echinoderm_anatomy				
ECAO:0104900	ciliary band neuron	larval neuron	larval nervous system	ciliary band presumptive neuron	stage 18	larval development		peripheral neuron											x						echinoderm_anatomy				
ECAO:0104908	ectoderm	germ layer	whole organism		stage 12	adult stage	Primary germ layer that is the outer of the embryo's three germ layers and gives rise to epidermis and neural tissue.		UBERON:0000924																echinoderm_anatomy				
ECAO:0104910	presumptive ciliary band cell	cell	embryo	ectoderm	stage 12	stage 16													x						echinoderm_anatomy				
ECAO:0104920	endoderm associated neuron	larval neuron	larval nervous system	endoderm associated presumptive neuron	4-arm pluteus larva stage	adult stage													x						echinoderm_anatomy				
ECAO:0104930	ganglion	neural structure	nervous system		larval development	adult stage			UBERON:0000045																echinoderm_anatomy				
ECAO:0104940	apical ganglion	ganglion	larval nervous system	animal pole domain	prism stage	competent pluteus larva stage		apical organ											x						echinoderm_anatomy				
ECAO:0104950	adult neuron	neuron	adult nervous system	presumptive neuron	8-arm pluteus larva stage	adult stage													x						echinoderm_anatomy				
ECAO:0104960	circumoral nerve ring	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage													x						echinoderm_anatomy				
ECAO:0104970	enteric nerve plexus	neural structure	adult nervous system		late juvenile stage	adult stage		enteric plexus, digestive nerve plexus	UBERON:0000429																echinoderm_anatomy				
ECAO:0104980	radial nerve cord	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage													x						echinoderm_anatomy				
ECAO:0104990	primary podia associated neuron	adult neuron	adult neuron		8-arm pluteus larva stage	late juvenile stage													x						echinoderm_anatomy				
ECAO:0105000	secondary podia associated neuron	adult neuron	adult neuron		early juvenile stage	adult stage																			echinoderm_anatomy				
ECAO:0105010	definitive spine associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage													x						echinoderm_anatomy				
ECAO:0105020	pedicellaria associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage													x						echinoderm_anatomy				
ECAO:0105030	basiepidermal nerve plexus	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage																			echinoderm_anatomy				
ECAO:0105050	animal quartet	cell tier	animal hemisphere		stage 4	stage 4	Group of four cells of equal size forming the animal hemisphere of an eight-cell stage embryo												x						echinoderm_anatomy				
ECAO:0105060	vegetal quartet	cell tier	vegetal hemisphere		stage 4	stage 4	Group of four cells of equal size forming the vegetal hemisphere of an eight-cell stage embryo												x						echinoderm_anatomy				
ECAO:0105070	animal tier 1	cell tier	animal hemisphere	mesomere	stage 6	stage 7		an1											x						echinoderm_anatomy				
ECAO:0105080	animal tier 2	cell tier	animal hemisphere	mesomere	stage 6	stage 7		an2											x						echinoderm_anatomy				
ECAO:0105090	vegetal tier 1	cell tier	vegetal hemisphere	macromere	stage 7	stage 8		veg1, ectoendoderm											x						echinoderm_anatomy				
ECAO:0105100	vegetal tier 2	cell tier	vegetal hemisphere	macromere	stage 7	stage 8		veg2, endomesoderm											x						echinoderm_anatomy				
ECAO:0105110	vegetal tier 1 upper	cell tier	vegetal hemisphere	vegetal tier 1	stage 9	stage 11		veg1U, veg1 upper, presumptive vegetal ectoderm					Lhomond et al 2012 (Frizzled1/2/7)						x						echinoderm_anatomy				
ECAO:0105120	vegetal tier 1 lower	cell tier	vegetal hemisphere	vegetal tier 1	stage 9	stage 11		veg1L, veg1 lower					Lhomond et al 2012 (Frizzled1/2/7)						x						echinoderm_anatomy				
ECAO:0105130	vegetal tier 2 upper	cell tier	vegetal hemisphere	vegetal tier 2	stage 9	stage 11		veg2U, veg2 upper					Lhomond et al 2012 (Frizzled1/2/7)						x						echinoderm_anatomy				
ECAO:0105140	vegetal tier 2 lower	cell tier	vegetal hemisphere	vegetal tier 2	stage 9	stage 11		veg2L, veg2 lower, presumptive non-skeletogenic mesoderm					Lhomond et al 2012 (Frizzled1/2/7)						x						echinoderm_anatomy				
ECAO:0105150	germ layer	embryonic structure	embryo		stage 12	stage 19		primary germ layer, embryonic germ layer	UBERON:0000923																echinoderm_anatomy				
ECAO:0105158	embryonic tissue	tissue	embryo		stage 12	stage 19			UBERON:0005291																echinoderm_anatomy				
ECAO:0105160	presumptive ectoderm	embryonic tissue	animal hemisphere	mesomere	stage 5	stage 11			UBERON:0006601																echinoderm_anatomy				
ECAO:0105180	animal ectoderm	anatomical region	ectoderm	animal hemisphere	stage 5	stage 11													x						echinoderm_anatomy				
ECAO:0105190	vegetal ectoderm	anatomical region	ectoderm	vegetal hemisphere	early blastula stage	vegetal plate stage													x						echinoderm_anatomy				
ECAO:0105200	ventral ectoderm	anatomical region	ectoderm		larval development	larval development		oral ectoderm											x						echinoderm_anatomy				
ECAO:0105210	dorsal ectoderm	anatomical region	ectoderm		larval development	larval development		aboral ectoderm											x						echinoderm_anatomy				
ECAO:0105220	ectoendoderm	germ layer	whole organism	vegetal tier 1	stage 7	stage 11		vegetal tier 1, veg1											x						echinoderm_anatomy				
ECAO:0105230	endomesoderm	germ layer	whole organism	vegetal tier 2	stage 7	stage 11		vegetal tier 2, veg2, mesoendoderm							XAO:0003044				xao						echinoderm_anatomy				
ECAO:0105240	inner animal pole domain	anatomical region	animal pole domain	animal tier 1	mesenchyme blastula phase	prism stage		inner apical pole domain											x						echinoderm_anatomy				
ECAO:0105250	outer animal pole domain	anatomical region	animal pole domain	animal tier 1	mesenchyme blastula phase	prism stage		outer apical pole domain											x						echinoderm_anatomy				
ECAO:0105260	central ectoderm	anatomical region	ectoderm		stage 11	stage 17							Li, E., Cui, M., Peter, I. S. and Davidson, E. H. (2014). Encoding regulatory state boundaries in the pregastrular oral ectoderm of the sea urchin embryo. Proc. Natl. Acad. Sci. U.S.A. 111, E906-913.						x						echinoderm_anatomy				
ECAO:0105270	border ectoderm	anatomical region	ectoderm	ectoendoderm	stage 10	stage 17		BE					Ref McIntyre						x						echinoderm_anatomy				
ECAO:0105280	near-apical ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination episode																			echinoderm_anatomy				1
ECAO:0105290	apical ectoderm	anatomical region	ectoderm		stage 11	stage 17																			echinoderm_anatomy				1
ECAO:0105300	veg1-lateral ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination episode																			echinoderm_anatomy				
ECAO:0105310	veg-1 oral ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination episode																			echinoderm_anatomy				
ECAO:0105320	lateral ectoderm	anatomical region	ectoderm		stage 16	larval development																			echinoderm_anatomy				
ECAO:0105330	right lateral ectoderm	lateral ectoderm	ectoderm		mesenchyme blastula phase	invagination episode													x						echinoderm_anatomy				
ECAO:0105340	left lateral ectoderm	lateral ectoderm	ectoderm		mesenchyme blastula phase	invagination episode													x						echinoderm_anatomy				
ECAO:0105350	arm tip ectoderm	anatomical region	ectoderm		early pluteus larva stage	competent pluteus larva stage													x						echinoderm_anatomy				
ECAO:0105360	dorsal arm tip ectoderm	anatomical region	arm tip ectoderm	border ectoderm	early pluteus larva stage	competent pluteus larva stage													x						echinoderm_anatomy				
ECAO:0105370	ventral arm tip ectoderm	anatomical region	arm tip ectoderm	border ectoderm	early pluteus larva stage	competent pluteus larva stage													x						echinoderm_anatomy				
ECAO:0105380	apical tuft	embryonic structure	animal pole domain	animal tier 1	stage 12	larval development													x						echinoderm_anatomy				
ECAO:0105400	larval tissue	tissue	larva		larval development	larval development													x						echinoderm_anatomy				
ECAO:0105410	rudiment tissue	tissue	rudiment		6-arm pluteus larva stage	metamorphic larva stage																			echinoderm_anatomy				
ECAO:0105420	juvenile tissue	tissue	juvenile		early juvenile stage	late juvenile stage																			echinoderm_anatomy				
ECAO:0105430	adult tissue	tissue	adult		early juvenile stage	adult stage													x						echinoderm_anatomy				
ECAO:0105440	presumptive stomodeum	embryonic structure	ventral ectoderm		mesenchyme blastula phase	prism stage																			echinoderm_anatomy				
ECAO:0105450	stomodeum	embryonic structure	ventral ectoderm	presumptive stomodeum	stage 18	stage 18		presumptive mouth	UBERON:0000930																echinoderm_anatomy				
ECAO:0105460	ciliary band	anatomical structure	ectoderm		stage 17	larval development													x						echinoderm_anatomy				
ECAO:0105470	oral hood ciliary band	larval structure	ciliary band		stage 19	larval development													x						echinoderm_anatomy				
